Item,Revenue Class,Department,Default Price,Qty,Total Cost,% of Total,Discounts,Avg. Sale Price,Gross Sales,Net Sales,Net Sales w/o Mods,% of Total
Tomato Soup small,Food,Soup & Sandwiches,12,33,0,0,0,12,396,396,,0.75
TOYO Toolbox,Retail,Retail Merch,70,1,0,0,0,70,70,70,,0.13
Trillium Fort Point IPA,Beer,PM Beer,20,3,0,0,0,20,60,60,,0.11
Trillium Melcher Street IPA,Beer,PM Beer,22,6,0,0,0,21,126,126,,0.24
Tumeric and Super Seed Granola,Retail,Retail Food,18,2,0,0,0,18,36,36,,0.07
Turkey Sandwich,Food,Soup & Sandwiches,13,106,0,0,1.3,12.99,1378,1376.7,,2.62
VANDY - Original,Retail,Retail Food,16,11,0,0,0,16,176,176,,0.33
Vandy Smokehouse BBQ,Food,Retail Food,16,22,0,0,0,16,352,352,,0.67
Ve Ve Vinho Verde,Wine,PM Wine,22,5,0,0,0,22,110,110,,0.21
Via Alpina Pinot Grigio,Wine,PM Wine,25,5,0,0,0,25,125,125,,0.24
Walter Scott Pinot Noir,Wine,Cave De PM,76,2,0,0,0,76,152,152,,0.29
Whipped Honey,Retail,Retail Food,18,5,0,0,0,18,90,90,,0.17
Whipped ricotta,Food,Dips,12,71,0,0,2.4,11.97,852,849.6,,1.62
Wishie Fishies,Retail,Retail Merch,14,3,0,0,0,14,42,42,,0.08
Zorro Pecan Bark,Food,Retail Food,18,1,0,0,0,18,18,18,,0.03
Totals:,,,,6955,0,100,532.25,7.56,53082.27,52550.02,,100
